"","word","freq"
"parque","parque",105
"comfandi","comfandi",83
"caña","caña",60
"yanaconas","yanaconas",33
"pance","pance",31
"caleñas","caleñas",30
"tardes","tardes",29
"calima","calima",27
"cafe","cafe",19
"confandi","confandi",19
"lago","lago",19
"ninguno","ninguno",18
"centro","centro",12
"comfenalco","comfenalco",11
"café","café",10
"arrayanes","arrayanes",9
"azucar","azucar",9
"confenalco","confenalco",9
"panaca","panaca",9
"plaza","plaza",8
"acuaparque","acuaparque",7
"arroyohondo","arroyohondo",6
"recreacional","recreacional",6
"valle","valle",6
"azúcar","azúcar",5
"cañas","cañas",5
"gordas","gordas",5
"jardín","jardín",5
"termales","termales",5
"ukumari","ukumari",5
"chipichape","chipichape",4
"ninguna","ninguna",4
"recreativa","recreativa",4
"unidad","unidad",4
"acua","acua",3
"arroyo","arroyo",3
"bailarinas","bailarinas",3
"comfamar","comfamar",3
"comfamiliar","comfamiliar",3
"consota","consota",3
"hondo","hondo",3
"recreaciónal","recreaciónal",3
"rosa","rosa",3
"santa","santa",3
"unicentro","unicentro",3
"agua","agua",2
"aguas","aguas",2
"arca","arca",2
"aventura","aventura",2
"camelias","camelias",2
"cañasgordas","cañasgordas",2
"cañaveralejo","cañaveralejo",2
"club","club",2
"coconuco","coconuco",2
"comfandy","comfandy",2
"disney","disney",2
"hotel","hotel",2
"mall","mall",2
"melgar","melgar",2
"mundo","mundo",2
"noé","noé",2
"picilago","picilago",2
"piramides","piramides",2
"playas","playas",2
"recuerdo","recuerdo",2
"resort","resort",2
"rivera","rivera",2
"rozo","rozo",2
"salitre","salitre",2
"san","san",2
"tairona","tairona",2
"tulua","tulua",2
"zoológico","zoológico",2
"aguaparque","aguaparque",1
"ahora","ahora",1
"anahuac","anahuac",1
"anahuactardes","anahuactardes",1
"andrés","andrés",1
"arrierosyanaconas","arrierosyanaconas",1
"arrollodondo","arrollodondo",1
"aurora","aurora",1
"avion","avion",1
"avión","avión",1
"bailarinasparque","bailarinasparque",1
"brisas","brisas",1
"buenaventura","buenaventura",1
"buuga","buuga",1
"cafalandia","cafalandia",1
"cafam","cafam",1
"cafecomfandi","cafecomfandi",1
"cafetero","cafetero",1
"cafë","cafë",1
"cali","cali",1
"calimacomfandi","calimacomfandi",1
"calimayanaconas","calimayanaconas",1
"canchas","canchas",1
"cartagena","cartagena",1
"cauca","cauca",1
"cañatermales","cañatermales",1
"center","center",1
"centros","centros",1
"charcos","charcos",1
"chorrera","chorrera",1
"ciudad","ciudad",1
"ciudades","ciudades",1
"clago","clago",1
"cocalina","cocalina",1
"coconucolago","coconucolago",1
"coconucos","coconucos",1
"cofandi","cofandi",1
"colgate","colgate",1
"comercial","comercial",1
"comfaboy","comfaboy",1
"comfacauca","comfacauca",1
"comfama","comfama",1
"comfandiarrayanesbailarinasparque","comfandiarrayanesbailarinasparque",1
"comfandipanaca","comfandipanaca",1
"comfenalcocomfandi","comfenalcocomfandi",1
"comfenañco","comfenañco",1
"comflenalco","comflenalco",1
"confamdi","confamdi",1
"confamiliar","confamiliar",1
"confenalcol","confenalcol",1
"coomeva","coomeva",1
"coomfandi","coomfandi",1
"cosmocentro","cosmocentro",1
"cristales","cristales",1
"delfines","delfines",1
"descubriendo","descubriendo",1
"diablos","diablos",1
"diferentes","diferentes",1
"diversión","diversión",1
"divertura","divertura",1
"ecoparque","ecoparque",1
"eje","eje",1
"flags","flags",1
"flora","flora",1
"gloria","gloria",1
"grande","grande",1
"granja","granja",1
"hacienda","hacienda",1
"hukumari","hukumari",1
"ianaconastardes","ianaconastardes",1
"ideas","ideas",1
"ido","ido",1
"indio","indio",1
"jardin","jardin",1
"jente","jente",1
"juncal","juncal",1
"lado","lado",1
"lilii","lilii",1
"loga","loga",1
"lora","lora",1
"maria","maria",1
"mocawa","mocawa",1
"modelo","modelo",1
"mooll","mooll",1
"mágico","mágico",1
"nacional","nacional",1
"napoles","napoles",1
"nequi","nequi",1
"ningún","ningún",1
"ningúno","ningúno",1
"noecomfenalcovomfandi","noecomfenalcovomfandi",1
"oasis","oasis",1
"otoño","otoño",1
"oído","oído",1
"pacara","pacara",1
"palmas","palmas",1
"palmeto","palmeto",1
"palmetto","palmetto",1
"panamericanas","panamericanas",1
"panceyanaconasparque","panceyanaconasparque",1
"pandy","pandy",1
"panzer","panzer",1
"paque","paque",1
"pardollada","pardollada",1
"parismomentos","parismomentos",1
"parques","parques",1
"paseo","paseo",1
"país","país",1
"pereira","pereira",1
"peñón","peñón",1
"pianfuita","pianfuita",1
"piedra","piedra",1
"piscilago","piscilago",1
"pisog","pisog",1
"pisoje","pisoje",1
"pnace","pnace",1
"pomo","pomo",1
"pqrque","pqrque",1
"quimbaya","quimbaya",1
"recracional","recracional",1
"recreación","recreación",1
"recreativo","recreativo",1
"recreativos","recreativos",1
"rodadero","rodadero",1
"rojos","rojos",1
"roso","roso",1
"sancipriano","sancipriano",1
"sarmiento","sarmiento",1
"see","see",1
"sipriano","sipriano",1
"six","six",1
"sol","sol",1
"studios","studios",1
"sur","sur",1
"tematicos","tematicos",1
"tortuga","tortuga",1
"tortujas","tortujas",1
"tuluá","tuluá",1
"ukumarí","ukumarí",1
"uni","uni",1
"universal","universal",1
"usc","usc",1
"villa","villa",1
"walt","walt",1
"world","world",1
"xcaret","xcaret",1
"xdd","xdd",1
"yanacona","yanacona",1
"yanaconaslago","yanaconaslago",1
"zoologico","zoologico",1
"único","único",1
