"","Variable","Categoria","Frecuencia","Porcentaje"
"1","Q59_1","Sí, porque la calidad del servicio es excelente",169,44.0104166666667
"2","Q59_10","No, porque los precios son elevados",38,9.89583333333333
"3","Q59_11","No, porque no dejan entrar alimentación",28,7.29166666666667
"4","Q59_12","Otros ¿Cuál?",20,5.20833333333333
"5","Q59_2","Sí, porque hay una gran variedad de actividades recreativas",142,36.9791666666667
"6","Q59_3","Sí, porque las instalaciones están bien mantenidas",142,36.9791666666667
"7","Q59_4","Sí, porque el personal es amable y servicial",133,34.6354166666667
"8","Q59_5","Sí, porque los precios son accesibles",109,28.3854166666667
"9","Q59_6","No, porque la calidad del servicio no es buena",22,5.72916666666667
"10","Q59_7","No, porque hay poca variedad de actividades recreativas",26,6.77083333333333
"11","Q59_8","No, porque las instalaciones no están bien mantenidas",17,4.42708333333333
"12","Q59_9","No, porque el personal no es amable ni servicial",16,4.16666666666667
