"","Variable","Categoria","Frecuencia","Porcentaje"
"1","Q8_1","Es más efectiva",202,52.6041666666667
"2","Q8_10","Es la marca que me ofrece mayor protección ",104,27.0833333333333
"3","Q8_11","Es la que tiene la mejor relación precio calidad",93,24.21875
"4","Q8_12","Otro, ¿cuál?",5,1.30208333333333
"5","Q8_2","Me ofrece más frescura ",202,52.6041666666667
"6","Q8_3","Es más natural",76,19.7916666666667
"7","Q8_4","Me gusta el sabor",202,52.6041666666667
"8","Q8_5","Es más económica",73,19.0104166666667
"9","Q8_6","Es la que limpia mejor mis dientes",157,40.8854166666667
"10","Q8_7","Es la que encuentro en el lugar en el que compro",101,26.3020833333333
"11","Q8_8","Es una marca reconocida y confiable",210,54.6875
"12","Q8_9","Es una marca innovadora",90,23.4375
