"","word","freq"
"boca","boca",171
"solo","solo",153
"sonreir","sonreir",97
"sonreír","sonreír",56
"bolsillo","bolsillo",40
"cuida","cuida",36
"salud","salud",36
"oral","oral",21
"jgb","jgb",16
"fluocardent","fluocardent",11
"calidad","calidad",10
"fluo","fluo",10
"cardent","cardent",8
"dientes","dientes",7
"sonrisa","sonrisa",7
"confianza","confianza",6
"fluocarden","fluocarden",6
"mismo","mismo",6
"comer","comer",5
"cuidado","cuidado",5
"segura","segura",5
"aliento","aliento",4
"bien","bien",4
"bucal","bucal",4
"frescura","frescura",4
"mas","mas",4
"razones","razones",4
"seguro","seguro",4
"sientete","sientete",4
"siéntete","siéntete",4
"sólo","sólo",4
"ayuda","ayuda",3
"bica","bica",3
"carden","carden",3
"fresco","fresco",3
"importa","importa",3
"limpieza","limpieza",3
"mejor","mejor",3
"preocupes","preocupes",3
"reir","reir",3
"siempre","siempre",3
"bueno","bueno",2
"cepillate","cepillate",2
"colgate","colgate",2
"cuidar","cuidar",2
"deja","deja",2
"higiene","higiene",2
"importante","importante",2
"limpia","limpia",2
"momento","momento",2
"par","par",2
"puedes","puedes",2
"recuerdo","recuerdo",2
"roncar","roncar",2
"saludable","saludable",2
"situación","situación",2
"solamente","solamente",2
"sé","sé",2
"tranquilo","tranquilo",2
"abierta","abierta",1
"acción","acción",1
"ahí","ahí",1
"alcanse","alcanse",1
"ara","ara",1
"asi","asi",1
"basta","basta",1
"bienestar","bienestar",1
"boldillo","boldillo",1
"buena","buena",1
"bus","bus",1
"calida","calida",1
"campaña","campaña",1
"carder","carder",1
"cepillarte","cepillarte",1
"coca","coca",1
"confiada","confiada",1
"confiados","confiados",1
"cuidando","cuidando",1
"cuidate","cuidate",1
"cuide","cuide",1
"debemos","debemos",1
"delicioso","delicioso",1
"dent","dent",1
"dentadura","dentadura",1
"dental","dental",1
"despertó","despertó",1
"dice","dice",1
"duracion","duracion",1
"duradera","duradera",1
"economia","economia",1
"economía","economía",1
"efectividad","efectividad",1
"encuentres","encuentres",1
"estes","estes",1
"expresar","expresar",1
"extrama","extrama",1
"familia","familia",1
"flourcardent","flourcardent",1
"fluicastre","fluicastre",1
"fluocardenr","fluocardenr",1
"fluocardente","fluocardente",1
"fluocradent","fluocradent",1
"fluor","fluor",1
"forti","forti",1
"frecura","frecura",1
"fresca","fresca",1
"fress","fress",1
"genial","genial",1
"gente","gente",1
"gracias","gracias",1
"gusta","gusta",1
"gysta","gysta",1
"hablar","hablar",1
"higiénica","higiénica",1
"hijiene","hijiene",1
"horas","horas",1
"hugiene","hugiene",1
"imagen","imagen",1
"importancia","importancia",1
"jbg","jbg",1
"larga","larga",1
"limpio","limpio",1
"limpios","limpios",1
"linda","linda",1
"lindas","lindas",1
"llénate","llénate",1
"losa","losa",1
"mantente","mantente",1
"mantienes","mantienes",1
"marca","marca",1
"masticar","masticar",1
"max","max",1
"menor","menor",1
"miedo","miedo",1
"mientras","mientras",1
"ninguna","ninguna",1
"noca","noca",1
"nones","nones",1
"nooo","nooo",1
"noooo","noooo",1
"orar","orar",1
"pata","pata",1
"pena","pena",1
"personas","personas",1
"precio","precio",1
"preocupas","preocupas",1
"presentación","presentación",1
"producto","producto",1
"proteccion","proteccion",1
"protección","protección",1
"protege","protege",1
"protegerte","protegerte",1
"pude","pude",1
"puede","puede",1
"pásate","pásate",1
"quiera","quiera",1
"qur","qur",1
"quédate","quédate",1
"recuerso","recuerso",1
"refresco","refresco",1
"relajate","relajate",1
"respaldo","respaldo",1
"rico","rico",1
"roncando","roncando",1
"roncaste","roncaste",1
"saludoral","saludoral",1
"sentirse","sentirse",1
"sentirte","sentirte",1
"sepillate","sepillate",1
"ser","ser",1
"siente","siente",1
"sino","sino",1
"sirve","sirve",1
"solicitar","solicitar",1
"somriente","somriente",1
"sonrelr","sonrelr",1
"sonrerir","sonrerir",1
"sonrier","sonrier",1
"sonrisas","sonrisas",1
"sonrreir","sonrreir",1
"sonríe","sonríe",1
"sonríer","sonríer",1
"sorie","sorie",1
"sorneir","sorneir",1
"ten","ten",1
"tener","tener",1
"tranquilidad","tranquilidad",1
"triple","triple",1
"ucho","ucho",1
"usa","usa",1
"vea","vea",1
"ven","ven",1
"ver","ver",1
"verdad","verdad",1
"veían","veían",1
"viendo","viendo",1
"visualizar","visualizar",1
"voca","voca",1
"vucal","vucal",1
