word;freq;;;;;
Colgate;326;;;;;
Oral-B;14;;;;;
Fluocardent;8;;;;;
Fortindent;6;;;;;
bucarine;5;;;;;
Colgate;3;;;;;
Sensodyne;2;;;;;
Sensodyne;2;;;;;
accion;1;;;;;
Fluocardent;1;;;;;
Colgate;1;;;;;
Colgate;1;;;;;
Colgate;1;;;;;
Colgate;1;;;;;
Colgate;1;;;;;
Colgate;1;;;;;
Colgate;1;;;;;
crest;1;;;;;
dentifas;1;;;;;
Fluocardent;1;;;;;
Fluocardent;1;;;;;
Fluocardent;1;;;;;
Fluocardent;1;;;;;
Oral-B;1;;;;;
pro;1;;;;;
secrets;1;;;;;
total;1;;;;;
triple;1;;;;;
victoria;1;;;;;
