"","P4","P19","frecuencia","Porcentaje"
"1","25-35 Años","La considero relevante y actual",78,26.0869565217391
"2","25-35 Años","La considero anticuada",16,5.35117056856187
"3","25-35 Años",NA,6,2.0066889632107
"4","25-35 Años","La considero poco relevante",4,1.33779264214047
"5","25-35 Años","No me dice nada de un producto para la tos",4,1.33779264214047
"6","25-35 Años","No tengo opinión sobre el lema",4,1.33779264214047
"7","36-40 Años","La considero relevante y actual",59,19.7324414715719
"8","36-40 Años","La considero anticuada",11,3.67892976588629
"9","36-40 Años","La considero poco relevante",5,1.67224080267559
"10","36-40 Años","No tengo opinión sobre el lema",5,1.67224080267559
"11","36-40 Años","No me dice nada de un producto para la tos",3,1.00334448160535
"12","36-40 Años",NA,1,0.334448160535117
"13","41-55 Años","La considero relevante y actual",78,26.0869565217391
"14","41-55 Años","La considero anticuada",13,4.34782608695652
"15","41-55 Años","La considero poco relevante",6,2.0066889632107
"16","41-55 Años","No tengo opinión sobre el lema",3,1.00334448160535
"17","41-55 Años","No me dice nada de un producto para la tos",2,0.668896321070234
"18","41-55 Años",NA,1,0.334448160535117
