"","P6"
"1","Bronquisol"
"2","Tukol-D"
"3","Mieltertos, noraver"
"4",NA
"5","tv"
"6","Miertetos"
"7","Mieltostos y bronquisol"
"8","jgb"
"9","Territorio rojo"
"10","Mieltertos"
"11","Mieltretos bisolvon tukolD"
"12","Mieltertos"
"13","Bronquisol ,teratos, hiedra... mieltatos"
"14",NA
"15","Bronquisol"
"16","Miltras tos"
"17","De ninguna"
"18","Mieltertos"
"19",NA
"20","Noraver, mieltertos"
"21","Bronquisol"
"22","noravel tecnoquimicas"
"23","Bronquisol mieltertos"
"24","Mk"
"25","Bronquisol"
"26","Bronquisol, mieltertos"
"27","Propóleo"
"28",NA
"29","Mielteltos"
"30","BISOLVON"
"31","Mieltertos"
"32",NA
"33","Mieltertos, bronquisol"
"34","mieltertos"
"35","Tosferin"
"36","bisolvon"
"37","JGB"
"38","Jgb"
"39","Tukol - D, Mielter tos"
"40","jgb"
"41","MIeltertos"
"42","bisolvon"
"43","mieltertos"
"44","Bronquisol, tukol"
"45","Bronquisol, mielterstos"
"46","Broncoche"
"47","bronquisol"
"48","Bronquisol"
"49","Noraver"
"50","Oscilococin"
"51","Mieltertos"
"52","Redes sociales"
"53","Mieltertos ,tukol-d"
"54","Mieltertos"
"55","robitusin"
"56","Noravel"
"57","Bronquisol"
"58","Extertos"
"59",NA
"60","Bronquisol"
"61","pax"
"62","mieltertos"
"63","Genfar y tq"
"64","Miertertos"
"65","Bronquisol"
"66","Tucol, bisolvon"
"67","Noraver"
"68","Noraver"
"69","Mieltertos"
"70","Bisolvon , noraver"
"71","Miertestos"
"72","Mieltertos"
"73","Noraver"
"74","Bronquisol"
"75","Noraver, Bisolvon, Mieltertos, Avrilar"
"76","Noxpirin"
"77","Bisolvon, bronquisol"
"78","Mieltertos, bronquisol"
"79","Mieltertos, bronquisol"
"80","Mieltertos"
"81",NA
"82",NA
"83","Noxpirin"
"84","Mieltertos y vick"
"85","Mieltertos, robitusin"
"86","avrilar , bisolvon"
"87","Mieltertos jarabe"
"88","Brinquisol"
"89","Dolex"
"90","Bronquisol"
"91","Mieltertos"
"92","Mieltertos"
"93","Mieltertos, Vic,"
"94","Bronquisol, mieltertos"
"95","Mieltertos"
"96","Tukol"
"97","Melter tos"
"98","Vick vaporub"
"99","Mieltertos"
"100","Noraver, mieltertos"
"101",NA
"102","Bronquisol"
"103","ninguna"
"104","Vic"
"105","Vick"
"106","mieltertos"
"107","Mieltertos"
"108","Maka"
"109","Jgb, noraver"
"110","Mieltertos- bronquisol"
"111","bronquisol, noraver"
"112","Privatos, mieltertos"
"113","Mieltertos"
"114","Mieltertos"
"115","Bisolvón, Mieltertós"
"116","Mieltertos"
"117","Mielterros"
"118",NA
"119",NA
"120","Robitusin,bronquisol"
"121",NA
"122","Por TV y redes sociales"
"123","Mieltertos"
"124","Mieltertos"
"125","Mieltertos, Tukol-d"
"126","Mieltertos, bronquisol,"
"127","Noraver, Bisolvon"
"128","Mieltertós. Noxpirín. Bisolvón. Vick."
"129","Mieltertos"
"130","Mieltertos"
"131","Tucol"
"132","Miertertos"
"133","Redoxon"
"134",NA
"135","MIELTERTOS, ENGYSTOL, PROPOLEO"
"136","Rubitusin"
"137",NA
"138","Bronquisol"
"139","Noxpirin, advil, mieltertos"
"140",NA
"141","Teratos"
"142","Bronquisol"
"143","Jgb, atamel"
"144","Noraver, Dolex Gripa"
"145","Jgb bronquisol"
"146","Tukol"
"147","Mieltertos ,bronquios,vick"
"148","Noxpirin"
"149","Mieltertos"
"150","Mieltertos,"
"151","Bronquisol"
"152","mieltertos"
"153","Bronquisol"
"154","Broxol, Miel tertos, Mucosolvan"
"155","Tukol d ,robitusin"
"156","Bronquisol"
"157",NA
