"","Marca Confiable","Marca innovadora","Marca que endulza mejor","Marca con amplia trayectoria","Marca Experta","Es la marca que me ofrece mejor relación costo /beneficio","Marca Cercana","Es la Marca líder en el mercado","Marca Lejana","Marca Nueva","Es una marca reconocida","Es una marca de excelente calidad /pureza","Es una marca saludable","Es una marca que no se encuentra fácil en supermercados","Es sostenible con el medio ambiente","Es la más dulce","Es una marca costosa","Es la marca más procesada","Es la más natural","Es una marca económica","Es orgánica","Se disuelve fácil","Es una marca con producto de fácil disolución","Es la marca que no modifica el sabor de las comidas","Es la marca que no modifica el color de las comidas"
"1","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"2","Manuelita","Riopaila","Incauca","Manuelita","Incauca","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Incauca","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Providencia","Providencia"
"3","Manuelita","Manuelita","Incauca","Manuelita",NA,"Providencia","Providencia","Manuelita","Incauca","Riopaila","Providencia","Incauca","Incauca","Riopaila","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"4","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Manuelita","Providencia","Riopaila","Riopaila","Riopaila","Riopaila"
"5","Manuelita","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Manuelita"
"6","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Providencia","Providencia","Riopaila","Manuelita","Riopaila","Manuelita","Manuelita","Riopaila","Incauca","Incauca","Manuelita","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila"
"7","Incauca","Providencia","Incauca","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Riopaila","Providencia","Incauca","Providencia","Providencia","Riopaila","Providencia","Incauca","Providencia","Incauca","Providencia","Manuelita","Providencia","Manuelita","Incauca","Incauca","Incauca"
"8","Riopaila","Incauca","Incauca","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Manuelita","Incauca","Riopaila","Riopaila","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Riopaila","Riopaila","Incauca","Incauca","Incauca","Riopaila","Incauca"
"9","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Incauca","Riopaila","Manuelita","Riopaila","Manuelita","Providencia","Incauca","Providencia","Manuelita","Providencia","Providencia"
"10","Riopaila","Providencia","Riopaila",NA,"Manuelita","Riopaila",NA,"Riopaila","Incauca","Providencia","Riopaila","Manuelita","Providencia","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"11","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Providencia","Incauca","Riopaila","Riopaila","Providencia","Providencia","Providencia","Manuelita","Riopaila","Riopaila","Incauca","Providencia","Incauca","Providencia","Providencia","Providencia","Riopaila"
"12","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"13","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"14","Riopaila","Incauca","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Manuelita","Incauca","Providencia","Riopaila","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Incauca","Manuelita","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Riopaila"
"15","Riopaila","Manuelita","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Manuelita"
"16","Riopaila","Riopaila",NA,"Manuelita","Incauca","Manuelita","Riopaila",NA,NA,"Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita",NA,"Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"17","Manuelita","Incauca","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Incauca","Riopaila","Providencia","Incauca","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Riopaila","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
