"","Variable","Categoria","Frecuencia","Porcentaje"
"1","P17_1","Ambiente en general (como se siente)",17,0.0431472081218274
"2","P17_1","Facilidad y amplitud del Estacionamiento",4,0.0101522842639594
"3","P17_1","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)",11,0.0279187817258883
"4","P17_1","Opciones de entretenimiento (cine, juegos para niños, karts etc)",23,0.0583756345177665
"5","P17_1","Opciones de servicios (bancos, salud, servirtecas, etc)",13,0.032994923857868
"6","P17_1","Opciones de tiendas para toda la familia",6,0.0152284263959391
"7","P17_1","Precios",39,0.0989847715736041
"8","P17_1","Que no cobren el parqueadero",13,0.032994923857868
"9","P17_1","Que realicen ferias y/o eventos de mi interés",15,0.0380710659898477
"10","P17_1","Que sea de fácil acceso (cantidad de entradas y salidas)",1,0.00253807106598985
"11","P17_1","Seguridad",50,0.126903553299492
"12","P17_1","Ubicación",153,0.388324873096447
"13","P17_1","Variedad de tiendas para mi",49,0.124365482233503
"14","P17_2","Ambiente en general (como se siente)",23,0.0583756345177665
"15","P17_2","Facilidad y amplitud del Estacionamiento",8,0.0203045685279188
"16","P17_2","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)",23,0.0583756345177665
"17","P17_2","Opciones de entretenimiento (cine, juegos para niños, karts etc)",20,0.050761421319797
"18","P17_2","Opciones de servicios (bancos, salud, servirtecas, etc)",12,0.0304568527918782
"19","P17_2","Opciones de tiendas para toda la familia",9,0.0228426395939086
"20","P17_2","Precios",57,0.144670050761421
"21","P17_2","Que no cobren el parqueadero",17,0.0431472081218274
"22","P17_2","Que realicen ferias y/o eventos de mi interés",12,0.0304568527918782
"23","P17_2","Que sea de fácil acceso (cantidad de entradas y salidas)",4,0.0101522842639594
"24","P17_2","Seguridad",47,0.119289340101523
"25","P17_2","Ubicación",84,0.213197969543147
"26","P17_2","Variedad de tiendas para mi",68,0.17258883248731
"27","P17_3","Ambiente en general (como se siente)",32,0.0812182741116751
"28","P17_3","Facilidad y amplitud del Estacionamiento",15,0.0380710659898477
"29","P17_3","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)",22,0.0558375634517767
"30","P17_3","Opciones de entretenimiento (cine, juegos para niños, karts etc)",15,0.0380710659898477
"31","P17_3","Opciones de servicios (bancos, salud, servirtecas, etc)",13,0.032994923857868
"32","P17_3","Opciones de tiendas para toda la familia",11,0.0279187817258883
"33","P17_3","Precios",51,0.129441624365482
"34","P17_3","Que no cobren el parqueadero",17,0.0431472081218274
"35","P17_3","Que realicen ferias y/o eventos de mi interés",11,0.0279187817258883
"36","P17_3","Que sea de fácil acceso (cantidad de entradas y salidas)",4,0.0101522842639594
"37","P17_3","Seguridad",34,0.0862944162436548
"38","P17_3","Ubicación",61,0.154822335025381
"39","P17_3","Variedad de tiendas para mi",93,0.236040609137056
