"","word","freq"
"plaza","plaza",208
"chipichap","chipichap",68
"unicentro","unicentro",61
"jardin","jardin",32
"jardín","jardín",25
"unico","unico",23
"centro","centro",22
"comerci","comerci",21
"mallplaza","mallplaza",19
"único","único",19
"palmetto","palmetto",18
"cosmocentro","cosmocentro",16
"palmeto","palmeto",15
"exito","exito",9
"estación","estación",9
"cali","cali",6
"estacion","estacion",6
"–","–",6
"falabella","falabella",5
"moll","moll",5
"calima","calima",5
"bogotá","bogotá",5
"small","small",4
"chipichapemal","chipichapemal",3
"plazaunicentro","plazaunicentro",3
"gusta","gusta",3
"plazachipichap","plazachipichap",3
"santiago","santiago",3
"malla","malla",3
"ikea","ikea",3
"plazachipichapeunicentro","plazachipichapeunicentro",3
"mollplaza","mollplaza",2
"homecent","homecent",2
"mal","mal",2
"olimpica","olimpica",2
"éxito","éxito",2
"cosmo","cosmo",2
"plazaunico","plazaunico",2
"chipichapejardin","chipichapejardin",2
"pacif","pacif",2
"nuevo","nuevo",2
"recuerdo","recuerdo",2
"premier","premier",2
"ara","ara",2
"plazajardin","plazajardin",2
"chpichap","chpichap",2
"plazacosmo","plazacosmo",2
"tienda","tienda",2
"jumbo","jumbo",2
"plazacentro","plazacentro",2
"plazala","plazala",2
"grand","grand",1
"llano","llano",1
"únicojardín","únicojardín",1
"exitohomecenteralkosto","exitohomecenteralkosto",1
"unicentrojardín","unicentrojardín",1
"centenario","centenario",1
"cauca","cauca",1
"centrorio","centrorio",1
"chipichapee","chipichapee",1
"metro","metro",1
"cañaveralejo","cañaveralejo",1
"palaza","palaza",1
"consmocentro","consmocentro",1
"interesant","interesant",1
"smallplaza","smallplaza",1
"mallaplaa","mallaplaa",1
"cosmocentrojardin","cosmocentrojardin",1
"plazapalmettounicentrochipichap","plazapalmettounicentrochipichap",1
"pasarela","pasarela",1
"llanogrand","llanogrand",1
"beno","beno",1
"moda","moda",1
"stoptemplo","stoptemplo",1
"locasl","locasl",1
"nombr","nombr",1
"exitounicentrojardin","exitounicentrojardin",1
"olímpica","olímpica",1
"limonar","limonar",1
"center","center",1
"macao","macao",1
"mol","mol",1
"plazamal","plazamal",1
"univo","univo",1
"chipichapesmal","chipichapesmal",1
"estaciónchipichapeunicentro","estaciónchipichapeunicentro",1
"laza","laza",1
"place","place",1
"unicomal","unicomal",1
"countrymal","countrymal",1
"unicentrojardin","unicentrojardin",1
"unicentromal","unicentromal",1
"chipichapecentro","chipichapecentro",1
"cosmocenteo","cosmocenteo",1
"plazaunicentrocosmocentro","plazaunicentrocosmocentro",1
"únicounicentro","únicounicentro",1
"cosmocentropalmettojardín","cosmocentropalmettojardín",1
"cartago","cartago",1
"smollplaza","smollplaza",1
"inauguración","inauguración",1
"jumboolímpica","jumboolímpica",1
"jumboéxitoalkosto","jumboéxitoalkosto",1
"nooo","nooo",1
"ccomerci","ccomerci",1
"cencosud","cencosud",1
"exitofalabella","exitofalabella",1
"falabellapalmeto","falabellapalmeto",1
"chipichapecc","chipichapecc",1
"estacioncc","estacioncc",1
"unicocc","unicocc",1
"facebook","facebook",1
"unicentroscosmocentropacífico","unicentroscosmocentropacífico",1
"hym","hym",1
"cartagoarboledaunicentro","cartagoarboledaunicentro",1
"santafenuestro","santafenuestro",1
"tesoro","tesoro",1
"bbva","bbva",1
"palma","palma",1
"américa","américa",1
"gran","gran",1
"mayorca","mayorca",1
"medellín","medellín",1
"santa","santa",1
"herradura","herradura",1
"plazamarbella","plazamarbella",1
"chicpichap","chicpichap",1
"aquarela","aquarela",1
"ninguno","ninguno",1
"plazaúnico","plazaúnico",1
"llamado","llamado",1
"publicidad","publicidad",1
"visto","visto",1
"plazapalmettomal","plazapalmettomal",1
"comocentro","comocentro",1
"miocentro","miocentro",1
"buga","buga",1
"alkosto","alkosto",1
"jatin","jatin",1
"palmetobcosmocentro","palmetobcosmocentro",1
"marbella","marbella",1
"centerariojardín","centerariojardín",1
"plazaúnicocosmocentrojardín","plazaúnicocosmocentrojardín",1
"centrojardin","centrojardin",1
"mallplazacosmo","mallplazacosmo",1
"mallunicentro","mallunicentro",1
"pacífico","pacífico",1
"plazacentenario","plazacentenario",1
"unicouniceentro","unicouniceentro",1
"centromalojardín","centromalojardín",1
"uní","uní",1
"plazaunicentrojardín","plazaunicentrojardín",1
"cosmocentropalmeto","cosmocentropalmeto",1
